epochs,time,accuracy
1.000000000000000000e+03,3.694055500032845885e+00,7.399999999999999911e-01
3.000000000000000000e+03,1.167169370001647621e+01,8.850000000000000089e-01
5.000000000000000000e+03,1.837193299998762086e+01,9.050000000000000266e-01
1.000000000000000000e+04,3.386521169997286052e+01,9.100000000000000311e-01
2.000000000000000000e+04,3.352020270004868507e+01,9.050000000000000266e-01
5.000000000000000000e+04,3.963155389996245503e+01,9.050000000000000266e-01
