-9.970790334291622370e-03,3.542970218046164743e-01,-1.005450630476666940e-01,-1.316893983944137161e-02,-5.576810976168204009e-02,-1.028381221134460066e-01,-2.541153186843320699e-01,-1.235174237887006615e-01,2.297970546702416406e-01,5.875499410069573436e-01,-3.918525114425254752e-01,7.080410805764475457e-02,1.603317409903926571e-01,1.387142454391050994e-01,-5.318764489910584592e-01
-1.776588007016333959e-01,-3.561655535109254506e-02,-2.254290903109391619e-01,-1.959865158481682301e-01,-6.919426498354101784e-02,6.992432322573637060e-02,-1.382981735282464986e-01,-3.237022375884491265e-01,9.966019523755331733e-02,3.897809847401258465e-01,1.686120310018638657e-01,-2.204537644177512190e-01,-6.761024857144980194e-02,3.295500368632051647e-01,-5.144736066118346107e-01
2.222146592275002774e-01,6.060951438437323785e-02,-1.558356339432994675e-01,1.112200755410110153e-02,3.145434416928429289e-01,9.290168467310537526e-02,-3.467373278569470252e-02,-1.023585254700358632e-01,1.629672307130294318e-01,8.876371011929241883e-02,-2.625113919498689996e-01,-8.090050721972212588e-02,-1.906122579228310410e-01,7.786931130454222139e-02,-1.734528250411539740e-01
-2.334934915269694655e-01,4.678534227452865041e-02,1.563678275132181217e-01,-1.743790493694586663e-01,-5.861661990507194275e-01,8.686590282042634670e-02,2.760883234440469347e-01,6.093941759144155812e-01,1.997529363822555526e-01,1.722101584974476407e-01,3.776240643945695807e-01,-1.136789721960647787e-01,-3.717838551706170169e-01,-3.800231145385131182e-01,9.699627118499816458e-02
-1.012162644431848779e-01,9.780295153742962419e-03,8.479190802827332729e-02,-3.148615843865104069e-01,-2.525103407817886891e-01,2.519944627992660568e-03,7.092727677855073520e-02,4.484597029908968246e-01,-1.948664293701190542e-01,2.610262762207504195e-01,1.033505684553044646e-01,-2.812247697873768854e-02,-6.908052902538595053e-01,3.427604808321223495e-01,1.731812107153520852e-01
1.113832368784331700e-01,2.473382806744961748e-01,-4.460950028880849016e-01,-4.948231599932578079e-02,-1.218678441369186322e-01,7.941026275574331050e-01,-1.403181900581497998e-01,-3.941439818385520377e-01,-2.829544440877913014e-01,-2.180476785306826315e-01,-5.776737542251533242e-01,2.056747817114002175e-01,-4.707966106059083972e-02,6.386731671646861397e-01,-7.107019377075352029e-02
4.562559665177340351e-02,1.646155595923026738e-02,2.803535366840023690e-01,1.059724482072028212e-01,2.416287844863000411e-01,8.627591403541806647e-02,3.694651393656146476e-01,3.564073032381006589e-01,-5.301574475443859846e-01,-3.603394438402919842e-01,-4.417338084201381521e-01,1.275837961446462943e-01,-1.299593748749175992e-01,6.491998172989953131e-02,-2.107901556158027212e-01
-2.168883698955628436e-01,-6.474181236298155728e-02,-4.456069678262954831e-02,-1.307552585440062975e-01,-2.416088223654854206e-01,-1.347433034929634843e-01,-1.421623979074481403e-01,9.564866430240391570e-02,2.933535324821880952e-01,2.486311399427501012e-01,1.674452504015021825e-01,8.303709812614171182e-02,-2.425005828624812176e-01,4.020322777902674560e-01,-9.764766670000081528e-02
5.126779182540243118e-01,4.388210291409329056e-01,4.443638135535380590e-02,-4.476195552762103902e-01,2.584532474634219229e-02,-7.015657456663243474e-02,2.880502217543384758e-01,4.789816024209260781e-01,-2.439698441356759062e-01,-1.417796382080552531e-01,-2.004384971740640897e-01,-2.436925917316081214e-01,-9.363902998883384676e-02,-3.902793014287764817e-01,1.626334674355495169e-01
-1.072610075212671737e-01,-7.695113225483425634e-02,5.307401086117512212e-02,-1.182315858011090404e-01,2.058510854817276470e-01,1.550589609667820390e-01,-3.845856034306331661e-02,1.459377500522822113e-01,-4.027999187053048907e-02,-2.506365922088422682e-01,-1.713977802550607499e-01,1.074172535303784953e-01,4.526824210693528201e-03,-3.184811243002786951e-01,-1.284610117942521779e-01
