learning_rate,accuracy
1.000000000000000021e-02,3.499999999999999778e-01
5.000000000000000278e-02,8.199999999999999512e-01
1.000000000000000056e-01,8.850000000000000089e-01
2.999999999999999889e-01,9.100000000000000311e-01
5.000000000000000000e-01,9.050000000000000266e-01
